area_name,nightlight_intensity,mobile_calls,data_usage_mb,unique_devices,informal_employment_density,primary_sector,latitude,longitude,population,area_sqkm,density
Dharavi,100.0,14787.966834518931,26991.343230957955,4705,52.69734589475604,Construction,19.04670783248745,72.84427000374862,1000000,2.39,418410
Dharavi,100.0,14715.070830206216,15566.182338657958,4560,44.82355425392619,Pottery & Crafts,19.040696367342186,72.85909590791275,1000000,2.39,418410
Dharavi,59.13326086692527,8296.09092123025,11476.250907364667,1716,31.80455205328189,Leather & Textiles,19.03369596463493,72.85399808769053,1000000,2.39,418410
Dharavi,100.0,14559.689833400827,31193.2751461305,5016,39.76377060228059,Construction,19.062936125378755,72.83045772419005,1000000,2.39,418410
Dharavi,100.0,14669.88944472877,16177.545401957379,3312,59.965092963623796,Domestic Services,19.03266099252815,72.85821199143618,1000000,2.39,418410
Dharavi,92.34728403862817,15035.787175705862,31489.17888800774,4019,38.7269196980759,Recycling & Waste,19.038411618462913,72.86304047627247,1000000,2.39,418410
Dharavi,20.25121838620096,4653.055686279525,12277.678167196573,1190,11.263280726555223,Manufacturing,19.0362598290963,72.87092906270416,1000000,2.39,418410
Dharavi,100.0,15367.062469798098,15599.1589455373,3786,52.31138848217226,Construction,19.0574805344082,72.87042951437301,1000000,2.39,418410
Dharavi,78.99966396240109,11835.830284362793,14948.89933274364,2928,45.251350514535005,Recycling & Waste,19.05178036489895,72.8459897371972,1000000,2.39,418410
Dharavi,87.36052464217792,13733.720493735194,37039.28260446827,4903,39.7264216339298,Recycling & Waste,19.0386409494035,72.85797627991721,1000000,2.39,418410
Dharavi,100.0,16709.6407352947,47178.308495400066,4288,41.30469809770371,Pottery & Crafts,19.03668093286169,72.85324001182343,1000000,2.39,418410
Dharavi,100.0,13673.012636012587,37543.18466625728,2958,31.694254822265464,Domestic Services,19.04642866228598,72.84214401723695,1000000,2.39,418410
Dharavi,100.0,15401.873122636127,43797.5332479413,4630,48.34030521479062,Recycling & Waste,19.046864059173423,72.86077863146335,1000000,2.39,418410
Dharavi,83.69287330917363,12362.50433039552,17099.116126516426,3723,38.84154967097156,Leather & Textiles,19.043827152028815,72.85920590319505,1000000,2.39,418410
Dharavi,39.19054593682787,7282.4078539908405,8675.093429814227,1986,18.468354432839625,Recycling & Waste,19.035316155940503,72.8613567426257,1000000,2.39,418410
Dharavi,100.0,13031.231453152508,28790.01478292862,4824,50.926499954394316,Domestic Services,19.043582036837975,72.8486575630276,1000000,2.39,418410
Dharavi,65.0038268177416,8960.158860531095,25070.49907279453,1888,42.951248999005486,Leather & Textiles,19.05086548984768,72.8631614367717,1000000,2.39,418410
Dharavi,59.11264684082494,8134.17542072627,8161.826243631609,2988,35.230835800784696,Leather & Textiles,19.046255939105716,72.86189854586141,1000000,2.39,418410
